Timestamp,Were you able to access HMS on day of allocation?,Did you select the single room out of your own volition?,"What's the reason you do not like the 4th/5th cluster?
(you can choose multiple answers!) (if you chose the cluster willingly, add the reason in others)",What would you want from admin side?,If there is anything else let us know!
2023/07/12 1:43:55 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 1:44:12 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 1:44:17 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees,
2023/07/12 1:44:43 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice,Reduction in single room fees,-
2023/07/12 1:45:04 PM GMT+5:30,No,"No, I didn’t have any other choice.",Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 1:45:07 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 1:45:51 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.,Reduction in single room fees,
2023/07/12 1:46:36 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;no hot water in the showers ,Reduction in single room fees,
2023/07/12 1:47:26 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 1:47:39 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 1:47:54 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice,Reduction in single room fees,:3
2023/07/12 1:47:56 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 1:48:00 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 1:48:15 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 1:48:19 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice,Reduction in single room fees,
2023/07/12 1:48:57 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 1:50:03 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 1:50:14 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 1:50:26 PM GMT+5:30,No,"No, I didn’t have any other choice.",Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice,Reduction in single room fees,
2023/07/12 1:51:11 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice,Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 1:52:33 PM GMT+5:30,No,Yes! I chose it because i preferred it.,The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.,Reduction in single room fees,
2023/07/12 1:53:52 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 1:54:08 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",Unreasonably high fees,Reduction in single room fees,
2023/07/12 1:54:44 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",Unreasonably high fees,Reduction in single room fees,
2023/07/12 1:54:54 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",Unreasonably high fees;Non functioning AC/Low AC usage time.,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
